,ghi_wm2,dni_wm2,dhi_wm2,poa_wm2,p_dc_kw,p_ac_kw,load_kW,charge_kW,discharge_kW,SoC_kWh,grid_import_kW,tariff
2025-08-12 00:00:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0,1.5170380856096863,0.0957124674459039,0.0,4.092841630233778,1.6127510085109547,0.12
2025-08-12 01:00:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0,1.5000279967036703,0.06918939970996715,0.0,4.15995585676829,1.5692178151565246,0.12
2025-08-12 02:00:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0,1.5175402807973197,0.04056723094678407,0.0,4.199306538525431,1.5581078804068689,0.12
2025-08-12 03:00:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0,1.57278617831699,0.003530871009567576,0.0,4.202731920060692,1.5763173945761926,0.12
2025-08-12 04:00:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0,1.6892948605835518,0.01365470761225406,0.0,4.215977392667714,1.7029499039245444,0.12
2025-08-12 05:00:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0,1.953002924854919,0.016709287421350347,0.0,4.232185768506795,1.9697125475536787,0.12
2025-08-12 06:00:00+05:30,61.92039605642209,121.72997114325457,41.001732988007944,61.920396056422064,0.061920396056422064,0.05077472476626609,2.487258913209521,0.005795663168126986,0.0,4.237807833666261,2.4422801246469117,0.12
2025-08-12 07:00:00+05:30,274.7987974978791,415.15840609204383,109.31821781262403,274.7987974978791,0.2747987974978791,0.22533501394826086,3.2011061043752314,0.007790299967040892,0.0,4.2453645444028965,2.9835615482291225,0.12
2025-08-12 08:00:00+05:30,497.3857029974472,577.9854898256534,147.3357435796421,497.3857029974472,0.4973857029974472,0.4078562764579067,3.6294095225544107,0.014922364046868307,1.1358745556990278e-07,4.259839120167957,3.2364755524635793,0.12
2025-08-12 09:00:00+05:30,689.1437243767331,666.3281658426814,170.52338256169799,689.1437243767331,0.6891437243767331,0.5650978539889211,3.4511061047102567,0.004388126400296948,3.75164285358812e-07,4.264095215323211,2.8903961024957345,0.12
2025-08-12 10:00:00+05:30,831.259147691969,714.5359053548674,184.75892190276613,831.259147691969,0.8312591476919691,0.6816325011074146,2.9702218491990244,0.0075643253086248325,7.265952338808331e-07,4.271431860572762,2.296153087009803,0.12
2025-08-12 11:00:00+05:30,912.091667020775,737.4232502841229,192.10912395638775,912.091667020775,0.912091667020775,0.7479151669570355,2.636016625501359,0.003253210299056038,1.1867868044564182e-06,4.2745862491340425,1.8913536644420388,0.12
2025-08-12 12:00:00+05:30,925.4092718020621,740.9323107593527,193.27846518982665,925.4092718020621,0.9254092718020621,0.7588356028776909,2.5258391610250297,0.127909814436519,1.7028091288795902e-06,4.398657010816244,1.8949119818362168,0.12
2025-08-12 13:00:00+05:30,870.1951825781397,725.9142363078352,188.35664736240506,870.1951825781397,0.8701951825781397,0.7135600497140745,2.506302074151063,0.24117486704583008,2.3591874009782627e-06,4.632594195605979,2.033915066503014,0.12
2025-08-12 14:00:00+05:30,750.6332503607142,688.6027549805822,176.91889208142504,750.6332503607142,0.7506332503607143,0.6155192652957857,2.4892649872955968,0.4627319473621394,3.297003424948174e-06,5.081440779679307,2.3364752379446077,0.12
2025-08-12 15:00:00+05:30,576.1926589438309,618.3542605709117,157.57405085510482,576.1926589438309,0.5761926589438309,0.4724779803339413,2.4758889497727155,0.9607482391732443,4.7301597699532095e-06,6.013361686625844,2.9641558128048486,0.12
2025-08-12 16:00:00+05:30,362.42347638079224,490.2088665952152,126.40306277087714,362.42347638079224,0.36242347638079225,0.29718725063224966,2.5565573142024136,2.0480947247727888,6.97392005818848e-06,8.000006367347103,4.307459789207561,0.12
2025-08-12 17:00:00+05:30,137.23430362873344,250.25508969956707,72.12795071971456,137.23430362873344,0.13723430362873346,0.11253212897556143,2.8666684586057505,0.0,1.9396683072199505,6.000346664838654,0.8144667238607994,0.3
2025-08-12 18:00:00+05:30,0.5422354940088303,0.3806370989095608,0.5301369918990091,0.5422354940088302,0.0005422354940088302,0.00044463310508724077,3.330515627261517,0.0,1.313848723920945,4.645858420934372,2.016218704819358,0.3
2025-08-12 19:00:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0,3.5000000000031504,0.0,1.1269079699524935,3.4840879735600203,2.3730853064190827,0.3
2025-08-12 20:00:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0,3.071696581823971,0.0,1.3232102424013268,2.119936983611639,1.7484748741900111,0.3
2025-08-12 21:00:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0,2.366668435760781,0.0,1.6682762769024644,0.40003661107588995,0.6983735572110779,0.3
2025-08-12 22:00:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0,1.8494495342616453,0.0,1.2938815306980398e-05,0.4000103787888757,1.8494066811833874,0.12
2025-08-12 23:00:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0,1.6098355492846064,0.0,9.384154542926132e-06,0.39999076354599417,1.6097930340349471,0.12
